State,County,County Code,Deaths,Population,Crude Rate
KY,"Fayette County, KY",21067,29,295803,9.8
KY,"Jefferson County, KY",21111,96,741096,12.95
LA,"Caddo Parish, LA",22017,46,254969,18.04
LA,"Calcasieu Parish, LA",22019,34,192768,17.64
LA,"East Baton Rouge Parish, LA",22033,111,440171,25.22
LA,"Jefferson Parish, LA",22051,99,432552,22.89
LA,"Lafayette Parish, LA",22055,32,221578,14.44
LA,"Livingston Parish, LA",22063,28,128026,21.87
LA,"Orleans Parish, LA",22071,163,343829,47.41
LA,"Ouachita Parish, LA",22073,28,153720,18.21
LA,"St. Tammany Parish, LA",22103,28,233740,11.98
MD,"Anne Arundel County, MD",24003,35,537656,6.51
MD,"Baltimore County, MD",24005,59,805029,7.33
MD,"Montgomery County, MD",24031,32,971777,3.29
MD,"Prince George's County, MD",24033,111,863420,12.86
MD,"Baltimore city, MD",24510,165,620961,26.57
MA,"Bristol County, MA",25005,24,548285,4.38
MA,"Essex County, MA",25009,24,743159,3.23
MA,"Hampden County, MA",25013,26,463490,5.61
MA,"Middlesex County, MA",25017,35,1503085,2.33
MA,"Suffolk County, MA",25025,70,722023,9.69
MA,"Worcester County, MA",25027,27,798552,3.38
MI,"Calhoun County, MI",26025,20,136146,14.69
MI,"Genesee County, MI",26049,78,425790,18.32
MI,"Ingham County, MI",26065,22,280895,7.83
MI,"Kalamazoo County, MI",26077,21,250331,8.39
MI,"Kent County, MI",26081,25,602622,4.15
MI,"Macomb County, MI",26099,73,840978,8.68
MI,"Oakland County, MI",26125,86,1202362,7.15
MI,"Saginaw County, MI",26145,22,200169,10.99
MI,"Washtenaw County, MI",26161,21,344791,6.09
MI,"Wayne County, MI",26163,366,1820584,20.1
MN,"Dakota County, MN",27037,26,398552,6.52
MN,"Hennepin County, MN",27053,78,1152425,6.77
MN,"Ramsey County, MN",27123,24,508640,4.72
MS,"DeSoto County, MS",28033,23,161252,14.26
MS,"Harrison County, MS",28047,25,187105,13.36
MS,"Hinds County, MS",28049,49,245285,19.98
MO,"Clay County, MO",29047,29,221939,13.07
MO,"Greene County, MO",29077,33,275174,11.99
MO,"Jackson County, MO",29095,145,674158,21.51
MO,"Jefferson County, MO",29099,25,218733,11.43
MO,"St. Charles County, MO",29183,28,360485,7.77
MO,"St. Louis County, MO",29189,123,998954,12.31
MO,"St. Louis city, MO",29510,116,319294,36.33
MT,"Flathead County, MT",30029,20,90928,22
NE,"Douglas County, NE",31055,54,517110,10.44
NV,"Clark County, NV",32003,275,1951269,14.09
NV,"Washoe County, NV",32031,52,421407,12.34
NH,"Hillsborough County, NH",33011,25,400721,6.24
NH,"Rockingham County, NH",33015,28,295223,9.48
NJ,"Atlantic County, NJ",34001,26,274549,9.47
NJ,"Bergen County, NJ",34003,28,905116,3.09
NJ,"Camden County, NJ",34007,46,513657,8.96
NJ,"Essex County, NJ",34013,107,783969,13.65
NJ,"Hudson County, NJ",34017,26,634266,4.1
NJ,"Mercer County, NJ",34021,26,366513,7.09
NJ,"Ocean County, NJ",34029,26,576567,4.51
NJ,"Passaic County, NJ",34031,30,501226,5.99
NJ,"Union County, NJ",34039,27,536499,5.03
NM,"Bernalillo County, NM",35001,80,662564,12.07
NM,"Dona Ana County, NM",35013,26,209233,12.43
NM,"San Juan County, NM",35045,23,130044,17.69
NY,"Bronx County, NY",36005,86,1385108,6.21
NY,"Dutchess County, NY",36027,20,297488,6.72
NY,"Erie County, NY",36029,76,919040,8.27
NY,"Kings County, NY",36047,171,2504700,6.83
NY,"Monroe County, NY",36055,61,744344,8.2
NY,"Nassau County, NY",36059,46,1339532,3.43
NY,"New York County, NY",36061,34,1585873,2.14
NY,"Onondaga County, NY",36067,23,467026,4.92
NY,"Queens County, NY",36081,81,2230722,3.63
NY,"Suffolk County, NY",36103,69,1493350,4.62
NY,"Westchester County, NY",36119,28,949113,2.95
NC,"Buncombe County, NC",37021,31,238318,13.01
NC,"Cabarrus County, NC",37025,20,178011,11.24
NC,"Catawba County, NC",37035,24,154358,15.55
NC,"Cumberland County, NC",37051,47,319431,14.71
NC,"Davidson County, NC",37057,20,162878,12.28
NC,"Durham County, NC",37063,29,267587,10.84
NC,"Forsyth County, NC",37067,37,350670,10.55
NC,"Gaston County, NC",37071,36,206086,17.47
NC,"Guilford County, NC",37081,39,488406,7.99
NC,"Harnett County, NC",37085,22,114678,19.18
NC,"Johnston County, NC",37101,21,168878,12.44
NC,"Mecklenburg County, NC",37119,101,919628,10.98
NC,"Onslow County, NC",37133,26,177772,14.63
NC,"Pitt County, NC",37147,20,168148,11.89
NC,"Robeson County, NC",37155,33,134168,24.6
NC,"Wake County, NC",37183,52,900993,5.77
OH,"Butler County, OH",39017,27,368130,7.33
OH,"Cuyahoga County, OH",39035,123,1280122,9.61
OH,"Franklin County, OH",39049,175,1163414,15.04
OH,"Hamilton County, OH",39061,107,802374,13.34
OH,"Lucas County, OH",39095,51,441815,11.54
OH,"Mahoning County, OH",39099,28,238823,11.72
OH,"Montgomery County, OH",39113,78,535153,14.58
OH,"Stark County, OH",39151,48,375586,12.78
OH,"Summit County, OH",39153,44,541781,8.12
OH,"Trumbull County, OH",39155,28,210312,13.31
OK,"Cleveland County, OK",40027,33,255755,12.9
OK,"Oklahoma County, OK",40109,98,718633,13.64
OK,"Tulsa County, OK",40143,104,603403,17.24
OR,"Clackamas County, OR",41005,36,375992,9.57
OR,"Deschutes County, OR",41017,27,157733,17.12
OR,"Jackson County, OR",41029,21,203206,10.33
OR,"Lane County, OR",41039,45,351715,12.79
OR,"Marion County, OR",41047,27,315335,8.56
OR,"Multnomah County, OR",41051,65,735334,8.84
OR,"Washington County, OR",41067,35,529710,6.61
PA,"Allegheny County, PA",42003,135,1223348,11.04
PA,"Beaver County, PA",42007,21,170539,12.31
PA,"Berks County, PA",42011,42,411442,10.21
PA,"Bucks County, PA",42017,43,625249,6.88
PA,"Chester County, PA",42029,38,498886,7.62
PA,"Dauphin County, PA",42043,27,268100,10.07
PA,"Delaware County, PA",42045,56,558979,10.02
PA,"Erie County, PA",42049,37,280566,13.19
PA,"Lehigh County, PA",42077,30,349497,8.58
PA,"Luzerne County, PA",42079,27,320918,8.41
PA,"Montgomery County, PA",42091,48,799874,6
PA,"Northampton County, PA",42095,27,297735,9.07
PA,"Philadelphia County, PA",42101,296,1526006,19.4
PA,"Westmoreland County, PA",42129,31,365169,8.49
PA,"York County, PA",42133,47,434972,10.81
RI,"Providence County, RI",44007,31,626667,4.95
SC,"Aiken County, SC",45003,28,160099,17.49
SC,"Anderson County, SC",45007,37,187126,19.77
SC,"Berkeley County, SC",45015,21,177843,11.81
SC,"Charleston County, SC",45019,63,350209,17.99
SC,"Florence County, SC",45041,22,136885,16.07
SC,"Greenville County, SC",45045,53,451225,11.75
SC,"Horry County, SC",45051,33,269291,12.25
SC,"Lexington County, SC",45063,27,262391,10.29
SC,"Richland County, SC",45079,51,384504,13.26
SC,"Spartanburg County, SC",45083,45,284307,15.83
SC,"York County, SC",45091,22,226073,9.73
TN,"Anderson County, TN",47001,20,75129,26.62
TN,"Davidson County, TN",47037,84,626681,13.4
TN,"Hamilton County, TN",47065,36,336463,10.7
TN,"Knox County, TN",47093,59,432226,13.65
