Median.Age,Unemployment.Rate,Violent.Crimes.Per.1000,Murders.And.Manslaughters.Per.1000,Rapes.Per.1000,Robberies.Per.1000,Aggravated.Assaults.Per.1000,Property.Crimes.Per.1000,Burglaries.Per.1000,Larceny.Thefts.Per.1000,Motor.Vehicle.Thefts.Per.1000,High.School.Or.Higher.Pct,Bachelors.Or.Higher.Pct,Republican.Vote.Pct,Without.Health.Insurance.Pct,Income.Per.Capita,Median.Household.Income,Poverty.Rate,Land.Area,Population.Density,Female.Pct,White.Pct,Black.Pct,Asian.Pct,Mixed.Race.Pct,Hispanic.Pct,Foreign.Born.Pct,County,Population,Crude.Rate,Gun.Law.Rank.2010,Federal.Govt.Expenditure.Per.Person
38.5,11.2,4.382164391,0.072448226,0.167774839,2.0066252,2.135316127,33.13457735,7.283906485,18.89468792,6.955982937,88.1,37.7,30.2,15.4,37742,75084,9.5,715.94,1465.2,51.2,58.6,9.3,14.4,5.9,24.4,23.1,"Contra Costa County, CA",1049025,9.91,1,6.484173399
30.6,16.8,4.607448009,0.069858671,0.18485679,1.37997743,2.972755118,40.03331721,8.262668601,25.29528723,6.475361384,72.6,19.4,48.1,18.5,20375,45219,21.5,5957.99,156.2,50,55.4,5.3,9.6,4.5,50.3,21.5,"Fresno County, CA",930450,7.31,1,6.39888656
30.7,15.9,5.515518126,0.067886965,0.277502855,1.5351982,3.634930106,38.0012172,11.01912626,20.74959119,6.232499753,71.4,14.6,57.9,17.8,19939,46938,22.2,8131.92,103.3,48.4,59.5,5.8,4.2,4.5,49.2,19.8,"Kern County, CA",839631,11.43,1,6.841731665
34.8,12.6,6.08925606,0.082089054,0.221314535,2.722484508,3.063367963,26.44795264,5.5539458,15.13239406,5.761612775,75.5,28.4,28.8,23.1,26983,54375,16,4057.88,2419.6,50.7,50.3,8.7,13.7,4.5,47.7,35.4,"Los Angeles County, CA",9818605,8.14,1,8.406931331
44.5,8.3,2.167117654,0.019809119,0.162434778,0.546731693,1.438142063,20.3518892,4.781921405,13.17702618,2.392941615,92.2,53.9,20.2,16,53284,86658,7.3,520.31,485.1,50.8,80,2.8,5.5,4.2,15.5,18.3,"Marin County, CA",252409,8.32,1,6.714895269
29.6,18.9,6.024402544,0.082097634,0.273658779,1.04381277,4.624833361,35.27461658,8.862635021,22.11944815,4.292533416,67,12.7,45,18.4,17994,39922,24.6,1934.97,132.2,49.7,58,3.9,7.4,4.7,54.9,24.7,"Merced County, CA",255793,10.56,1,5.94171068
32.9,12.8,4.753563968,0.086735075,0.238521456,1.414263583,3.014043854,27.68535406,7.362844139,15.75928126,4.563228665,70.9,23.6,29.9,25.9,25345,57647,17.2,3280.6,126.5,48.6,55.6,3.1,6.1,5.1,55.4,29.6,"Monterey County, CA",415057,12.05,1,7.947110879
36.2,9.6,2.537013758,0.023918422,0.142846133,1.007895737,1.362353466,21.16282067,3.847876177,14.86862142,2.446323074,83,35.2,50.2,21.3,33901,71735,10.7,790.57,3807.7,50.5,60.8,1.7,17.9,4.2,33.7,30,"Orange County, CA",3010232,4.88,1,5.99347625
40.3,11.5,2.298870368,0.008610001,0.203770033,0.413280066,1.673210268,23.94728383,5.200440832,16.57999265,2.166850347,92.5,33.5,54.7,14.7,35617,70751,7.2,1407.01,247.6,51.2,83.5,1.4,5.9,4.3,12.8,9.7,"Placer County, CA",348432,8.61,1,5.574278482
33.7,14.7,3.775504752,0.041102628,0.227434543,1.289252439,2.217715141,30.54427644,8.292226899,17.71888634,4.533163199,79,20.4,47.9,25.9,24642,55151,13.9,7206.48,303.8,50.2,61,6.4,6,4.8,45.5,22,"Riverside County, CA",2189641,6.07,1,5.090576492
